table,row_id,action,reason
transactions,T0004014,quarantined,customer C800195 has no master record
transactions,T0004110,quarantined,customer C800209 has no master record
transactions,T0004111,quarantined,customer C800209 has no master record
transactions,T0004112,quarantined,customer C800209 has no master record
transactions,T0004114,quarantined,customer C800077 has no master record
transactions,T0004384,quarantined,customer C800071 has no master record
transactions,T0004385,quarantined,customer C800071 has no master record
transactions,T0005239,quarantined,customer C800446 has no master record
transactions,T0005240,quarantined,customer C800446 has no master record
transactions,T0005241,quarantined,customer C800446 has no master record
transactions,T0005242,quarantined,customer C800446 has no master record
transactions,T0005970,quarantined,customer C800438 has no master record
transactions,T0006170,quarantined,customer C800068 has no master record
transactions,T0006171,quarantined,customer C800068 has no master record
transactions,T0006344,quarantined,customer C800088 has no master record
transactions,T0006368,quarantined,customer C800309 has no master record
transactions,T0006369,quarantined,customer C800309 has no master record
transactions,T0006558,quarantined,customer C800103 has no master record
transactions,T0006559,quarantined,customer C800103 has no master record
transactions,T0006575,quarantined,customer C800427 has no master record
transactions,T0006761,quarantined,customer C800237 has no master record
transactions,T0006762,quarantined,customer C800237 has no master record
transactions,T0006763,quarantined,customer C800237 has no master record
transactions,T0006924,quarantined,customer C800137 has no master record
transactions,T0006925,quarantined,customer C800137 has no master record
transactions,T0007155,quarantined,customer C800376 has no master record
transactions,T0007257,quarantined,customer C800443 has no master record
transactions,T0007951,quarantined,customer C800222 has no master record
transactions,T0007952,quarantined,customer C800222 has no master record
transactions,T0007953,quarantined,customer C800222 has no master record
transactions,T0007980,quarantined,customer C800183 has no master record
transactions,T0007981,quarantined,customer C800183 has no master record
transactions,T0008019,quarantined,customer C800063 has no master record
transactions,T0008020,quarantined,customer C800063 has no master record
transactions,T0008021,quarantined,customer C800063 has no master record
transactions,T0008576,quarantined,customer C800120 has no master record
transactions,T0008577,quarantined,customer C800120 has no master record
transactions,T0008616,quarantined,customer C800277 has no master record
transactions,T0008619,quarantined,customer C800342 has no master record
transactions,T0008660,quarantined,customer C800036 has no master record
transactions,T0008839,quarantined,customer C800134 has no master record
transactions,T0008840,quarantined,customer C800134 has no master record
transactions,T0008841,quarantined,customer C800134 has no master record
transactions,T0008842,quarantined,customer C800134 has no master record
transactions,T0009245,quarantined,customer C800390 has no master record
transactions,T0009246,quarantined,customer C800390 has no master record
transactions,T0009247,quarantined,customer C800390 has no master record
transactions,T0009248,quarantined,customer C800390 has no master record
transactions,T0009249,quarantined,customer C800390 has no master record
transactions,T0009250,quarantined,customer C800390 has no master record
transactions,T0009396,quarantined,customer C800188 has no master record
transactions,T0009585,quarantined,customer C800115 has no master record
transactions,T0009586,quarantined,customer C800115 has no master record
transactions,T0009677,quarantined,customer C800136 has no master record
transactions,T0009678,quarantined,customer C800136 has no master record
transactions,T0009679,quarantined,customer C800136 has no master record
transactions,T0009695,quarantined,customer C800219 has no master record
transactions,T0009696,quarantined,customer C800219 has no master record
transactions,T0009697,quarantined,customer C800219 has no master record
transactions,T0009698,quarantined,customer C800219 has no master record
transactions,T0009699,quarantined,customer C800219 has no master record
transactions,T0009777,quarantined,customer C800147 has no master record
transactions,T0009904,quarantined,customer C800180 has no master record
transactions,T0009905,quarantined,customer C800180 has no master record
transactions,T0009906,quarantined,customer C800180 has no master record
transactions,T0010159,quarantined,customer C800226 has no master record
transactions,T0010160,quarantined,customer C800226 has no master record
transactions,T0010666,quarantined,customer C800450 has no master record
transactions,T0010667,quarantined,customer C800450 has no master record
transactions,T0010684,quarantined,customer C800082 has no master record
transactions,T0011310,quarantined,customer C800065 has no master record
transactions,T0011512,quarantined,customer C800324 has no master record
transactions,T0011513,quarantined,customer C800324 has no master record
transactions,T0012491,quarantined,customer C800258 has no master record
transactions,T0012492,quarantined,customer C800258 has no master record
transactions,T0012510,quarantined,customer C800396 has no master record
transactions,T0012511,quarantined,customer C800396 has no master record
transactions,T0012924,quarantined,customer C800398 has no master record
transactions,T0012925,quarantined,customer C800398 has no master record
transactions,T0012926,quarantined,customer C800398 has no master record
transactions,T0012927,quarantined,customer C800398 has no master record
transactions,T0012990,quarantined,customer C800379 has no master record
transactions,T0012991,quarantined,customer C800379 has no master record
transactions,T0012992,quarantined,customer C800379 has no master record
transactions,T0013630,quarantined,customer C800224 has no master record
transactions,T0013631,quarantined,customer C800224 has no master record
transactions,T0013917,quarantined,customer C800435 has no master record
transactions,T0013918,quarantined,customer C800435 has no master record
transactions,T0013919,quarantined,customer C800435 has no master record
transactions,T0014145,quarantined,customer C800487 has no master record
transactions,T0014146,quarantined,customer C800487 has no master record
transactions,T0014147,quarantined,customer C800487 has no master record
transactions,T0014375,quarantined,customer C800011 has no master record
transactions,T0014376,quarantined,customer C800011 has no master record
transactions,T0014377,quarantined,customer C800011 has no master record
transactions,T0014378,quarantined,customer C800011 has no master record
transactions,T0014543,quarantined,customer C800253 has no master record
transactions,T0014623,quarantined,customer C800148 has no master record
transactions,T0014764,quarantined,customer C800485 has no master record
transactions,T0014765,quarantined,customer C800485 has no master record
transactions,T0014766,quarantined,customer C800485 has no master record
transactions,T0014817,quarantined,customer C800227 has no master record
transactions,T0015049,quarantined,customer C800176 has no master record
transactions,T0015097,quarantined,customer C800246 has no master record
transactions,T0015098,quarantined,customer C800246 has no master record
transactions,T0015099,quarantined,customer C800246 has no master record
transactions,T0015100,quarantined,customer C800246 has no master record
transactions,T0015101,quarantined,customer C800246 has no master record
transactions,T0015386,quarantined,customer C800026 has no master record
transactions,T0015387,quarantined,customer C800026 has no master record
transactions,T0015537,quarantined,customer C800033 has no master record
transactions,T0015538,quarantined,customer C800033 has no master record
transactions,T0015539,quarantined,customer C800033 has no master record
transactions,T0015540,quarantined,customer C800033 has no master record
transactions,T0015541,quarantined,customer C800033 has no master record
transactions,T0016009,quarantined,customer C800282 has no master record
transactions,T0016481,quarantined,customer C800214 has no master record
transactions,T0016541,quarantined,customer C800371 has no master record
transactions,T0016748,quarantined,customer C800331 has no master record
transactions,T0016749,quarantined,customer C800331 has no master record
transactions,T0016750,quarantined,customer C800331 has no master record
transactions,T0016751,quarantined,customer C800331 has no master record
transactions,T0016752,quarantined,customer C800331 has no master record
transactions,T0017192,quarantined,customer C800286 has no master record
transactions,T0017193,quarantined,customer C800286 has no master record
transactions,T0017194,quarantined,customer C800286 has no master record
transactions,T0017466,quarantined,customer C800281 has no master record
transactions,T0017481,quarantined,customer C800039 has no master record
transactions,T0017482,quarantined,customer C800039 has no master record
transactions,T0017483,quarantined,customer C800039 has no master record
transactions,T0017484,quarantined,customer C800039 has no master record
transactions,T0017485,quarantined,customer C800039 has no master record
transactions,T0018329,quarantined,customer C800191 has no master record
transactions,T0018330,quarantined,customer C800191 has no master record
transactions,T0018406,quarantined,customer C800307 has no master record
transactions,T0018477,quarantined,customer C800260 has no master record
transactions,T0018772,quarantined,customer C800158 has no master record
transactions,T0018885,quarantined,customer C800491 has no master record
transactions,T0018886,quarantined,customer C800491 has no master record
transactions,T0018887,quarantined,customer C800491 has no master record
transactions,T0019022,quarantined,customer C800228 has no master record
transactions,T0019023,quarantined,customer C800228 has no master record
transactions,T0019175,quarantined,customer C800476 has no master record
transactions,T0019176,quarantined,customer C800476 has no master record
transactions,T0019213,quarantined,customer C800406 has no master record
transactions,T0019413,quarantined,customer C800250 has no master record
transactions,T0019598,quarantined,customer C800239 has no master record
transactions,T0019599,quarantined,customer C800239 has no master record
transactions,T0019653,quarantined,customer C800009 has no master record
transactions,T0019654,quarantined,customer C800009 has no master record
transactions,T0019655,quarantined,customer C800009 has no master record
transactions,T0019656,quarantined,customer C800009 has no master record
transactions,T0019657,quarantined,customer C800009 has no master record
transactions,T0019658,quarantined,customer C800009 has no master record
transactions,T0019664,quarantined,customer C800181 has no master record
transactions,T0019861,quarantined,customer C800447 has no master record
transactions,T0019978,quarantined,customer C800393 has no master record
transactions,T0020661,quarantined,customer C800473 has no master record
transactions,T0020890,quarantined,customer C800388 has no master record
transactions,T0021208,quarantined,customer C800075 has no master record
transactions,T0021209,quarantined,customer C800075 has no master record
transactions,T0021337,quarantined,customer C800044 has no master record
transactions,T0021338,quarantined,customer C800044 has no master record
transactions,T0021339,quarantined,customer C800044 has no master record
transactions,T0021340,quarantined,customer C800044 has no master record
transactions,T0021425,quarantined,customer C800197 has no master record
transactions,T0021426,quarantined,customer C800197 has no master record
transactions,T0021488,quarantined,customer C800381 has no master record
transactions,T0021489,quarantined,customer C800381 has no master record
transactions,T0021500,quarantined,customer C800156 has no master record
transactions,T0021682,quarantined,customer C800463 has no master record
transactions,T0021683,quarantined,customer C800463 has no master record
transactions,T0021684,quarantined,customer C800463 has no master record
transactions,T0021871,quarantined,customer C800266 has no master record
transactions,T0021872,quarantined,customer C800266 has no master record
transactions,T0022076,quarantined,customer C800189 has no master record
transactions,T0022423,quarantined,customer C800297 has no master record
transactions,T0022479,quarantined,customer C800129 has no master record
transactions,T0022919,quarantined,customer C800046 has no master record
transactions,T0022920,quarantined,customer C800046 has no master record
transactions,T0023059,quarantined,customer C800166 has no master record
transactions,T0023060,quarantined,customer C800166 has no master record
transactions,T0023061,quarantined,customer C800372 has no master record
transactions,T0023062,quarantined,customer C800372 has no master record
transactions,T0023063,quarantined,customer C800372 has no master record
transactions,T0023064,quarantined,customer C800372 has no master record
transactions,T0023227,quarantined,customer C800119 has no master record
transactions,T0023228,quarantined,customer C800119 has no master record
transactions,T0023320,quarantined,customer C800229 has no master record
transactions,T0023321,quarantined,customer C800229 has no master record
transactions,T0023322,quarantined,customer C800229 has no master record
transactions,T0023348,quarantined,customer C800133 has no master record
transactions,T0023737,quarantined,customer C800305 has no master record
transactions,T0023738,quarantined,customer C800305 has no master record
transactions,T0023739,quarantined,customer C800305 has no master record
transactions,T0023740,quarantined,customer C800305 has no master record
transactions,T0023876,quarantined,customer C800042 has no master record
transactions,T0023877,quarantined,customer C800042 has no master record
transactions,T0024220,quarantined,customer C800155 has no master record
transactions,T0024456,quarantined,customer C800337 has no master record
transactions,T0024473,quarantined,customer C800051 has no master record
transactions,T0024831,quarantined,customer C800304 has no master record
transactions,T0025099,quarantined,customer C800049 has no master record
transactions,T0025100,quarantined,customer C800049 has no master record
transactions,T0025101,quarantined,customer C800049 has no master record
transactions,T0025102,quarantined,customer C800049 has no master record
transactions,T0025217,quarantined,customer C800030 has no master record
transactions,T0025689,quarantined,customer C800428 has no master record
transactions,T0025690,quarantined,customer C800428 has no master record
transactions,T0025817,quarantined,customer C800116 has no master record
transactions,T0025866,quarantined,customer C800126 has no master record
transactions,T0025867,quarantined,customer C800126 has no master record
transactions,T0026185,quarantined,customer C800080 has no master record
transactions,T0026186,quarantined,customer C800080 has no master record
transactions,T0026187,quarantined,customer C800080 has no master record
transactions,T0026188,quarantined,customer C800080 has no master record
transactions,T0026189,quarantined,customer C800080 has no master record
transactions,T0026190,quarantined,customer C800080 has no master record
transactions,T0026442,quarantined,customer C800338 has no master record
transactions,T0026443,quarantined,customer C800338 has no master record
transactions,T0026700,quarantined,customer C800359 has no master record
transactions,T0026701,quarantined,customer C800359 has no master record
transactions,T0027149,quarantined,customer C800368 has no master record
transactions,T0027150,quarantined,customer C800368 has no master record
transactions,T0027151,quarantined,customer C800368 has no master record
transactions,T0027331,quarantined,customer C800355 has no master record
transactions,T0027332,quarantined,customer C800355 has no master record
transactions,T0027333,quarantined,customer C800355 has no master record
transactions,T0027587,quarantined,customer C800218 has no master record
transactions,T0027588,quarantined,customer C800218 has no master record
transactions,T0027637,quarantined,customer C800448 has no master record
transactions,T0027728,quarantined,customer C800008 has no master record
transactions,T0027729,quarantined,customer C800008 has no master record
transactions,T0027730,quarantined,customer C800008 has no master record
transactions,T0027752,quarantined,customer C800449 has no master record
transactions,T0027873,quarantined,customer C800499 has no master record
transactions,T0027874,quarantined,customer C800499 has no master record
transactions,T0028299,quarantined,customer C800482 has no master record
transactions,T0028358,quarantined,customer C800422 has no master record
transactions,T0028507,quarantined,customer C800419 has no master record
transactions,T0028508,quarantined,customer C800419 has no master record
transactions,T0028509,quarantined,customer C800419 has no master record
transactions,T0028510,quarantined,customer C800419 has no master record
transactions,T0028748,quarantined,customer C800402 has no master record
transactions,T0028749,quarantined,customer C800402 has no master record
transactions,T0028750,quarantined,customer C800402 has no master record
transactions,T0029069,quarantined,customer C800212 has no master record
transactions,T0029070,quarantined,customer C800212 has no master record
transactions,T0029071,quarantined,customer C800212 has no master record
transactions,T0029192,quarantined,customer C800153 has no master record
transactions,T0029693,quarantined,customer C800200 has no master record
transactions,T0029694,quarantined,customer C800200 has no master record
transactions,T0029695,quarantined,customer C800200 has no master record
transactions,T0029856,quarantined,customer C800004 has no master record
transactions,T0029857,quarantined,customer C800004 has no master record
transactions,T0029880,quarantined,customer C800370 has no master record
transactions,T0030236,quarantined,customer C800284 has no master record
transactions,T0030436,quarantined,customer C800125 has no master record
transactions,T0030705,quarantined,customer C800288 has no master record
transactions,T0030729,quarantined,customer C800404 has no master record
transactions,T0030730,quarantined,customer C800404 has no master record
transactions,T0030731,quarantined,customer C800404 has no master record
transactions,T0030831,quarantined,customer C800003 has no master record
transactions,T0030832,quarantined,customer C800003 has no master record
transactions,T0031041,quarantined,customer C800146 has no master record
transactions,T0031042,quarantined,customer C800146 has no master record
transactions,T0031043,quarantined,customer C800146 has no master record
transactions,T0031044,quarantined,customer C800146 has no master record
transactions,T0031126,quarantined,customer C800182 has no master record
transactions,T0031206,quarantined,customer C800466 has no master record
transactions,T0031207,quarantined,customer C800466 has no master record
transactions,T0031208,quarantined,customer C800466 has no master record
transactions,T0031209,quarantined,customer C800466 has no master record
transactions,T0031687,quarantined,customer C800367 has no master record
transactions,T0031688,quarantined,customer C800367 has no master record
transactions,T0031689,quarantined,customer C800367 has no master record
transactions,T0031932,quarantined,customer C800336 has no master record
transactions,T0032180,quarantined,customer C800356 has no master record
transactions,T0032181,quarantined,customer C800356 has no master record
transactions,T0032182,quarantined,customer C800356 has no master record
transactions,T0032194,quarantined,customer C800132 has no master record
transactions,T0032280,quarantined,customer C800470 has no master record
transactions,T0032281,quarantined,customer C800470 has no master record
transactions,T0032282,quarantined,customer C800470 has no master record
transactions,T0032392,quarantined,customer C800240 has no master record
transactions,T0032432,quarantined,customer C800032 has no master record
transactions,T0032433,quarantined,customer C800032 has no master record
transactions,T0032434,quarantined,customer C800032 has no master record
transactions,T0032521,quarantined,customer C800471 has no master record
transactions,T0032522,quarantined,customer C800471 has no master record
transactions,T0032523,quarantined,customer C800471 has no master record
transactions,T0032772,quarantined,customer C800112 has no master record
transactions,T0032848,quarantined,customer C800256 has no master record
transactions,T0032849,quarantined,customer C800256 has no master record
transactions,T0032850,quarantined,customer C800256 has no master record
transactions,T0032851,quarantined,customer C800256 has no master record
transactions,T0032852,quarantined,customer C800256 has no master record
transactions,T0032853,quarantined,customer C800256 has no master record
transactions,T0033269,quarantined,customer C800458 has no master record
transactions,T0033270,quarantined,customer C800458 has no master record
transactions,T0033792,quarantined,customer C800140 has no master record
transactions,T0033899,quarantined,customer C800210 has no master record
transactions,T0034358,quarantined,customer C800165 has no master record
transactions,T0034869,quarantined,customer C800187 has no master record
transactions,T0034870,quarantined,customer C800187 has no master record
transactions,T0035082,quarantined,customer C800095 has no master record
transactions,T0035687,quarantined,customer C800346 has no master record
transactions,T0035688,quarantined,customer C800346 has no master record
transactions,T0035689,quarantined,customer C800346 has no master record
transactions,T0035712,quarantined,customer C800160 has no master record
transactions,T0035977,quarantined,customer C800178 has no master record
transactions,T0036233,quarantined,customer C800497 has no master record
transactions,T0036258,quarantined,customer C800361 has no master record
transactions,T0036765,quarantined,customer C800362 has no master record
transactions,T0036766,quarantined,customer C800362 has no master record
transactions,T0036767,quarantined,customer C800362 has no master record
transactions,T0036768,quarantined,customer C800362 has no master record
transactions,T0036769,quarantined,customer C800362 has no master record
transactions,T0036828,quarantined,customer C800245 has no master record
transactions,T0037052,quarantined,customer C800374 has no master record
transactions,T0037053,quarantined,customer C800374 has no master record
transactions,T0037054,quarantined,customer C800374 has no master record
transactions,T0037182,quarantined,customer C800400 has no master record
transactions,T0037183,quarantined,customer C800400 has no master record
transactions,T0037184,quarantined,customer C800400 has no master record
transactions,T0037185,quarantined,customer C800400 has no master record
transactions,T0037584,quarantined,customer C800024 has no master record
transactions,T0037585,quarantined,customer C800024 has no master record
transactions,T0037668,quarantined,customer C800332 has no master record
transactions,T0037669,quarantined,customer C800332 has no master record
transactions,T0038254,quarantined,customer C800459 has no master record
transactions,T0038255,quarantined,customer C800459 has no master record
transactions,T0038502,quarantined,customer C800238 has no master record
transactions,T0038671,quarantined,customer C800034 has no master record
transactions,T0038800,quarantined,customer C800017 has no master record
transactions,T0038801,quarantined,customer C800017 has no master record
transactions,T0038802,quarantined,customer C800017 has no master record
transactions,T0039465,quarantined,customer C800111 has no master record
transactions,T0039466,quarantined,customer C800111 has no master record
transactions,T0039467,quarantined,customer C800111 has no master record
transactions,T0039493,quarantined,customer C800079 has no master record
transactions,T0039494,quarantined,customer C800079 has no master record
transactions,T0039495,quarantined,customer C800079 has no master record
transactions,T0039995,quarantined,customer C800241 has no master record
transactions,T0040236,quarantined,customer C800010 has no master record
transactions,T0040368,quarantined,customer C800263 has no master record
transactions,T0040369,quarantined,customer C800263 has no master record
transactions,T0040371,quarantined,customer C800311 has no master record
transactions,T0040372,quarantined,customer C800311 has no master record
transactions,T0040586,quarantined,customer C800434 has no master record
transactions,T0040587,quarantined,customer C800434 has no master record
transactions,T0040608,quarantined,customer C800333 has no master record
transactions,T0040767,quarantined,customer C800141 has no master record
transactions,T0040815,quarantined,customer C800477 has no master record
transactions,T0041930,quarantined,customer C800086 has no master record
transactions,T0041931,quarantined,customer C800086 has no master record
transactions,T0041932,quarantined,customer C800086 has no master record
transactions,T0041933,quarantined,customer C800086 has no master record
transactions,T0041934,quarantined,customer C800086 has no master record
transactions,T0041991,quarantined,customer C800027 has no master record
transactions,T0042015,quarantined,customer C800462 has no master record
transactions,T0042094,quarantined,customer C800343 has no master record
transactions,T0042095,quarantined,customer C800343 has no master record
transactions,T0042096,quarantined,customer C800343 has no master record
transactions,T0042259,quarantined,customer C800074 has no master record
transactions,T0042413,quarantined,customer C800201 has no master record
transactions,T0042414,quarantined,customer C800201 has no master record
transactions,T0042971,quarantined,customer C800290 has no master record
transactions,T0042972,quarantined,customer C800290 has no master record
transactions,T0042973,quarantined,customer C800290 has no master record
transactions,T0042974,quarantined,customer C800290 has no master record
transactions,T0044002,quarantined,customer C800243 has no master record
transactions,T0044003,quarantined,customer C800243 has no master record
transactions,T0044235,quarantined,customer C800163 has no master record
transactions,T0044236,quarantined,customer C800163 has no master record
transactions,T0044237,quarantined,customer C800163 has no master record
transactions,T0044399,quarantined,customer C800472 has no master record
transactions,T0044400,quarantined,customer C800472 has no master record
transactions,T0044401,quarantined,customer C800472 has no master record
transactions,T0044596,quarantined,customer C800041 has no master record
transactions,T0044837,quarantined,customer C800326 has no master record
transactions,T0044930,quarantined,customer C800287 has no master record
transactions,T0044931,quarantined,customer C800287 has no master record
transactions,T0044932,quarantined,customer C800254 has no master record
transactions,T0045036,quarantined,customer C800072 has no master record
transactions,T0045037,quarantined,customer C800072 has no master record
transactions,T0045185,quarantined,customer C800384 has no master record
transactions,T0045186,quarantined,customer C800384 has no master record
transactions,T0045419,quarantined,customer C800273 has no master record
transactions,T0045420,quarantined,customer C800273 has no master record
transactions,T0045421,quarantined,customer C800273 has no master record
transactions,T0045422,quarantined,customer C800110 has no master record
transactions,T0045423,quarantined,customer C800110 has no master record
transactions,T0045424,quarantined,customer C800110 has no master record
transactions,T0045425,quarantined,customer C800110 has no master record
transactions,T0045426,quarantined,customer C800110 has no master record
transactions,T0045427,quarantined,customer C800110 has no master record
transactions,T0045915,quarantined,customer C800392 has no master record
transactions,T0045916,quarantined,customer C800392 has no master record
transactions,T0045997,quarantined,customer C800203 has no master record
transactions,T0046384,quarantined,customer C800329 has no master record
transactions,T0046535,quarantined,customer C800018 has no master record
transactions,T0046536,quarantined,customer C800018 has no master record
transactions,T0046537,quarantined,customer C800018 has no master record
transactions,T0046538,quarantined,customer C800018 has no master record
transactions,T0046539,quarantined,customer C800018 has no master record
transactions,T0046641,quarantined,customer C800268 has no master record
transactions,T0046642,quarantined,customer C800268 has no master record
transactions,T0046975,quarantined,customer C800296 has no master record
transactions,T0046976,quarantined,customer C800296 has no master record
transactions,T0047043,quarantined,customer C800383 has no master record
transactions,T0047044,quarantined,customer C800383 has no master record
transactions,T0047045,quarantined,customer C800383 has no master record
transactions,T0047366,quarantined,customer C800386 has no master record
transactions,T0047928,quarantined,customer C800152 has no master record
transactions,T0047929,quarantined,customer C800152 has no master record
transactions,T0047930,quarantined,customer C800152 has no master record
transactions,T0047931,quarantined,customer C800152 has no master record
transactions,T0048088,quarantined,customer C800131 has no master record
transactions,T0048442,quarantined,customer C800186 has no master record
transactions,T0048522,quarantined,customer C800066 has no master record
transactions,T0048905,quarantined,customer C800490 has no master record
transactions,T0048906,quarantined,customer C800490 has no master record
transactions,T0048954,quarantined,customer C800021 has no master record
transactions,T0048955,quarantined,customer C800021 has no master record
transactions,T0049153,quarantined,customer C800278 has no master record
transactions,T0049220,quarantined,customer C800177 has no master record
transactions,T0049221,quarantined,customer C800177 has no master record
transactions,T0049837,quarantined,customer C800083 has no master record
transactions,T0050028,quarantined,customer C800313 has no master record
transactions,T0050029,quarantined,customer C800313 has no master record
transactions,T0050030,quarantined,customer C800313 has no master record
transactions,T0050031,quarantined,customer C800313 has no master record
transactions,T0050033,quarantined,customer C800323 has no master record
transactions,T0050034,quarantined,customer C800323 has no master record
transactions,T0050035,quarantined,customer C800323 has no master record
transactions,T0050097,quarantined,customer C800415 has no master record
transactions,T0050255,quarantined,customer C800293 has no master record
transactions,T0050905,quarantined,customer C800302 has no master record
transactions,T0050972,quarantined,customer C800340 has no master record
transactions,T0051042,quarantined,customer C800234 has no master record
transactions,T0051149,quarantined,customer C800196 has no master record
transactions,T0051150,quarantined,customer C800196 has no master record
transactions,T0051151,quarantined,customer C800196 has no master record
transactions,T0051152,quarantined,customer C800196 has no master record
transactions,T0051153,quarantined,customer C800196 has no master record
transactions,T0051361,quarantined,customer C800235 has no master record
transactions,T0051362,quarantined,customer C800235 has no master record
transactions,T0051700,quarantined,customer C800169 has no master record
transactions,T0051701,quarantined,customer C800169 has no master record
transactions,T0052473,quarantined,customer C800486 has no master record
transactions,T0052474,quarantined,customer C800486 has no master record
transactions,T0053055,quarantined,customer C800061 has no master record
transactions,T0053056,quarantined,customer C800061 has no master record
transactions,T0053166,quarantined,customer C800225 has no master record
transactions,T0054209,quarantined,customer C800069 has no master record
transactions,T0054210,quarantined,customer C800069 has no master record
transactions,T0054274,quarantined,customer C800279 has no master record
transactions,T0054506,quarantined,customer C800198 has no master record
transactions,T0054518,quarantined,customer C800053 has no master record
transactions,T0054519,quarantined,customer C800053 has no master record
transactions,T0054728,quarantined,customer C800035 has no master record
transactions,T0054729,quarantined,customer C800035 has no master record
transactions,T0054838,quarantined,customer C800289 has no master record
transactions,T0054850,quarantined,customer C800425 has no master record
transactions,T0054851,quarantined,customer C800425 has no master record
transactions,T0054852,quarantined,customer C800425 has no master record
transactions,T0055147,quarantined,customer C800439 has no master record
transactions,T0055148,quarantined,customer C800439 has no master record
transactions,T0055149,quarantined,customer C800439 has no master record
transactions,T0055150,quarantined,customer C800439 has no master record
transactions,T0055208,quarantined,customer C800070 has no master record
transactions,T0055209,quarantined,customer C800070 has no master record
transactions,T0055210,quarantined,customer C800070 has no master record
transactions,T0055211,quarantined,customer C800070 has no master record
transactions,T0055224,quarantined,customer C800208 has no master record
transactions,T0055458,quarantined,customer C800444 has no master record
transactions,T0055459,quarantined,customer C800444 has no master record
transactions,T0055460,quarantined,customer C800444 has no master record
transactions,T0055529,quarantined,customer C800408 has no master record
transactions,T0055530,quarantined,customer C800408 has no master record
transactions,T0055614,quarantined,customer C800172 has no master record
transactions,T0055615,quarantined,customer C800172 has no master record
transactions,T0055616,quarantined,customer C800172 has no master record
transactions,T0055630,quarantined,customer C800122 has no master record
transactions,T0055631,quarantined,customer C800122 has no master record
transactions,T0055632,quarantined,customer C800122 has no master record
transactions,T0055644,quarantined,customer C800217 has no master record
transactions,T0055645,quarantined,customer C800217 has no master record
transactions,T0055646,quarantined,customer C800217 has no master record
transactions,T0055957,quarantined,customer C800407 has no master record
transactions,T0055958,quarantined,customer C800407 has no master record
transactions,T0055959,quarantined,customer C800407 has no master record
transactions,T0055960,quarantined,customer C800407 has no master record
transactions,T0055993,quarantined,customer C800484 has no master record
transactions,T0056355,quarantined,customer C800202 has no master record
transactions,T0056356,quarantined,customer C800202 has no master record
transactions,T0056357,quarantined,customer C800202 has no master record
transactions,T0056375,quarantined,customer C800399 has no master record
transactions,T0056376,quarantined,customer C800399 has no master record
transactions,T0056377,quarantined,customer C800399 has no master record
transactions,T0056709,quarantined,customer C800453 has no master record
transactions,T0056710,quarantined,customer C800453 has no master record
transactions,T0056711,quarantined,customer C800453 has no master record
transactions,T0057132,quarantined,customer C800006 has no master record
transactions,T0057133,quarantined,customer C800006 has no master record
transactions,T0057302,quarantined,customer C800085 has no master record
transactions,T0057413,quarantined,customer C800211 has no master record
transactions,T0057519,quarantined,customer C800067 has no master record
