product_id,merchant_id,category,price
P00215,M0354,Beauty,138.73
P00216,M0045,Home & Living,146.06
P00217,M0094,Beauty,25.58
P00218,M0101,Grocery,25.99
P00219,M0055,Beauty,17.53
P00220,M0118,Electronics,66.38
P00221,M0126,Sports & Outdoor,18.25
P00222,M0306,Electronics,16.79
P00223,M0121,Beauty,59.19
P00224,M0351,Sports & Outdoor,15.11
P00225,M0310,Home & Living,23.71
P00226,M0361,Grocery,5.91
P00227,M0043,Toys & Kids,46.24
P00228,M0394,Sports & Outdoor,140.72
P00229,M0246,Home & Living,46.95
P00230,M0393,Apparel,91.43
P00231,M0142,Electronics,11.46
P00232,M0382,Pet Supplies,30.35
P00233,M0236,Toys & Kids,10.5
P00234,M0029,Sports & Outdoor,19.99
P00235,M0165,Beauty,49.16
P00236,M0056,Home & Living,26.89
P00237,M0377,Toys & Kids,6.88
P00238,M0122,Toys & Kids,7.51
P00239,M0089,Grocery,7.08
P00240,M0222,Beauty,38.18
P00241,M0171,Home & Living,157.2
P00242,M0039,Apparel,83.61
P00243,M0327,Electronics,4.45
P00244,M0339,Electronics,88.14
P00245,M0298,Beauty,56.98
P00246,M0247,Grocery,6.11
P00247,M0162,Toys & Kids,18.67
P00248,M0217,Home & Living,65.76
P00249,M0209,Apparel,40.26
P00250,M0067,Pet Supplies,7.55
P00251,M0033,Home & Living,42.51
P00252,M0102,Electronics,3.58
P00253,M0182,Electronics,20.07
P00254,M0065,Beauty,68.32
P00255,M0043,Toys & Kids,24.94
P00256,M0341,Toys & Kids,15.66
P00257,M0150,Home & Living,54.62
P00258,M0234,Grocery,58.98
P00259,M0210,Grocery,79.76
P00260,M0295,Sports & Outdoor,53.89
P00261,M0296,Sports & Outdoor,64.93
P00262,M0119,Electronics,47.45
P00263,M0340,Pet Supplies,31.16
P00264,M0149,Grocery,26.59
P00265,M0335,Beauty,19.82
P00266,M0162,Toys & Kids,8.24
P00267,M0045,Home & Living,10.38
P00268,M0305,Sports & Outdoor,19.03
P00269,M0013,Toys & Kids,30.49
P00270,M0309,Apparel,89.72
P00271,M0018,Electronics,23.63
P00272,M0083,Electronics,60.53
P00273,M0242,Sports & Outdoor,64.81
P00274,M0377,Toys & Kids,19.92
P00275,M0164,Beauty,41.9
P00276,M0049,Toys & Kids,19.7
P00277,M0094,Beauty,80.63
P00278,M0359,Home & Living,43.48
P00279,M0291,Grocery,8.4
P00280,M0041,Electronics,28.37
P00281,M0154,Apparel,108.13
P00282,M0106,Grocery,20.84
P00283,M0072,Electronics,36.71
P00284,M0339,Electronics,40.1
P00285,M0248,Beauty,9.65
P00286,M0072,Electronics,38.85
P00287,M0261,Grocery,7.0
P00288,M0166,Grocery,13.97
P00289,M0025,Grocery,64.6
P00290,M0180,Sports & Outdoor,33.82
P00291,M0075,Toys & Kids,18.65
P00292,M0099,Toys & Kids,36.66
P00293,M0352,Home & Living,23.24
P00294,M0285,Beauty,24.81
P00295,M0054,Beauty,44.31
P00296,M0341,Toys & Kids,12.75
P00297,M0230,Electronics,25.44
P00298,M0350,Electronics,18.52
P00299,M0299,Apparel,5.89
P00300,M0136,Apparel,10.71
P00301,M0214,Beauty,100.62
P00302,M0213,Grocery,34.68
P00303,M0288,Sports & Outdoor,7.45
P00304,M0100,Electronics,6.13
P00305,M0134,Sports & Outdoor,22.18
P00306,M0098,Toys & Kids,99.99
P00307,M0119,Electronics,20.74
P00308,M0065,Beauty,79.54
P00309,M0015,Toys & Kids,33.67
P00310,M0377,Toys & Kids,37.49
P00311,M0030,Beauty,7.37
P00312,M0356,Pet Supplies,57.04
P00313,M0002,Grocery,18.15
P00314,M0311,Toys & Kids,53.35
P00315,M0132,Sports & Outdoor,11.79
P00316,M0208,Pet Supplies,28.77
P00317,M0113,Sports & Outdoor,33.68
P00318,M0197,Apparel,21.36
P00319,M0181,Pet Supplies,35.31
P00320,M0212,Toys & Kids,19.3
P00321,M0158,Sports & Outdoor,13.68
P00322,M0215,Toys & Kids,104.06
P00323,M0331,Sports & Outdoor,63.06
P00324,M0174,Toys & Kids,12.37
P00325,M0145,Pet Supplies,40.92
P00326,M0053,Apparel,12.57
P00327,M0144,Beauty,8.45
P00328,M0051,Grocery,62.2
P00329,M0074,Electronics,5.29
P00330,M0381,Home & Living,56.5
P00331,M0036,Home & Living,19.54
P00332,M0193,Sports & Outdoor,20.28
P00333,M0334,Grocery,35.47
P00334,M0382,Pet Supplies,41.39
P00335,M0059,Toys & Kids,11.66
P00336,M0066,Apparel,46.8
P00337,M0150,Home & Living,27.17
P00338,M0222,Beauty,7.92
P00339,M0384,Electronics,21.05
P00340,M0084,Grocery,85.04
P00341,M0066,Apparel,110.93
P00342,M0102,Electronics,46.79
P00343,M0350,Electronics,8.4
P00344,M0013,Toys & Kids,38.15
P00345,M0153,Pet Supplies,52.76
P00346,M0048,Pet Supplies,47.14
P00347,M0063,Apparel,49.72
P00348,M0367,Beauty,34.02
P00349,M0001,Home & Living,22.98
P00350,M0129,Sports & Outdoor,14.19
P00351,M0367,Beauty,4.45
P00352,M0244,Toys & Kids,33.3
P00353,M0029,Sports & Outdoor,29.0
P00354,M0187,Electronics,40.52
P00355,M0389,Pet Supplies,7.36
P00356,M0161,Pet Supplies,43.84
P00357,M0212,Toys & Kids,155.88
P00358,M0213,Grocery,26.33
P00359,M0265,Pet Supplies,23.21
P00360,M0075,Toys & Kids,32.4
P00361,M0336,Grocery,152.8
P00362,M0396,Grocery,9.76
P00363,M0058,Electronics,29.46
P00364,M0328,Home & Living,11.94
P00365,M0327,Electronics,14.99
P00366,M0297,Grocery,23.46
P00367,M0149,Grocery,82.48
P00368,M0188,Beauty,124.08
P00369,M0336,Grocery,36.72
P00370,M0062,Toys & Kids,17.48
P00371,M0332,Apparel,231.24
P00372,M0369,Home & Living,16.7
P00373,M0273,Electronics,14.67
P00374,M0137,Sports & Outdoor,4.97
P00375,M0224,Electronics,86.18
P00376,M0021,Sports & Outdoor,58.64
P00377,M0373,Beauty,216.16
P00378,M0137,Sports & Outdoor,7.02
P00379,M0023,Electronics,91.14
P00380,M0318,Toys & Kids,26.13
P00381,M0264,Pet Supplies,50.68
P00382,M0250,Home & Living,5.57
P00383,M0022,Apparel,91.95
P00384,M0301,Apparel,49.79
P00385,M0255,Toys & Kids,23.69
P00386,M0318,Toys & Kids,43.84
P00387,M0331,Sports & Outdoor,12.32
P00388,M0085,Toys & Kids,14.56
P00389,M0085,Toys & Kids,16.17
P00390,M0370,Grocery,4.63
P00391,M0213,Grocery,53.28
P00392,M0176,Beauty,71.7
P00393,M0115,Sports & Outdoor,13.05
P00394,M0256,Electronics,33.56
P00395,M0302,Grocery,19.32
P00396,M0001,Home & Living,32.97
P00397,M0222,Beauty,13.95
P00398,M0398,Electronics,11.08
P00399,M0113,Sports & Outdoor,63.24
P00400,M0113,Sports & Outdoor,23.16
P00401,M0352,Home & Living,151.4
P00402,M0025,Grocery,25.58
P00403,M0160,Grocery,10.66
P00404,M0184,Toys & Kids,74.01
P00405,M0320,Grocery,43.28
P00406,M0052,Electronics,47.19
P00407,M0174,Toys & Kids,71.63
P00408,M0061,Pet Supplies,13.63
P00409,M0316,Toys & Kids,21.88
P00410,M0253,Electronics,21.02
P00411,M0199,Apparel,7.68
P00412,M0158,Sports & Outdoor,19.35
P00413,M0062,Toys & Kids,81.67
P00414,M0369,Home & Living,30.37
P00415,M0260,Sports & Outdoor,7.3
P00416,M0128,Grocery,6.05
P00417,M0166,Grocery,109.76
P00418,M0291,Grocery,22.62
P00419,M0288,Sports & Outdoor,13.7
P00420,M0185,Beauty,19.17
P00421,M0122,Toys & Kids,6.49
P00422,M0264,Pet Supplies,88.3
P00423,M0264,Pet Supplies,17.22
P00424,M0240,Toys & Kids,83.99
P00425,M0030,Beauty,25.7
P00426,M0190,Apparel,88.82
P00427,M0246,Home & Living,30.91
P00428,M0381,Home & Living,52.87
P00429,M0211,Apparel,46.86
P00430,M0138,Home & Living,42.99
P00431,M0223,Toys & Kids,33.55
P00432,M0071,Grocery,19.89
P00433,M0037,Grocery,137.54
P00434,M0272,Home & Living,10.85
P00435,M0395,Toys & Kids,24.63
P00436,M0339,Electronics,24.86
P00437,M0234,Grocery,35.24
P00438,M0017,Sports & Outdoor,16.67
P00439,M0396,Grocery,32.57
P00440,M0180,Sports & Outdoor,21.07
P00441,M0116,Sports & Outdoor,5.91
P00442,M0357,Electronics,24.74
P00443,M0299,Apparel,9.11
P00444,M0300,Home & Living,5.15
P00445,M0112,Grocery,27.75
P00446,M0397,Home & Living,38.06
P00447,M0182,Electronics,39.41
P00448,M0213,Grocery,40.87
P00449,M0301,Apparel,4.31
P00450,M0264,Pet Supplies,7.21
P00451,M0069,Home & Living,144.92
P00452,M0121,Beauty,9.56
P00453,M0145,Pet Supplies,42.51
P00454,M0380,Apparel,13.22
P00455,M0286,Pet Supplies,26.36
P00456,M0147,Home & Living,13.87
P00457,M0294,Apparel,40.67
P00458,M0296,Sports & Outdoor,27.75
P00459,M0158,Sports & Outdoor,16.39
P00460,M0162,Toys & Kids,9.53
P00461,M0358,Pet Supplies,31.22
P00462,M0225,Toys & Kids,8.24
P00463,M0060,Toys & Kids,36.04
P00464,M0288,Sports & Outdoor,260.82
P00465,M0236,Toys & Kids,82.69
P00466,M0204,Toys & Kids,46.83
P00467,M0291,Grocery,22.71
P00468,M0363,Electronics,4.29
P00469,M0133,Home & Living,7.46
P00470,M0168,Electronics,77.83
P00471,M0076,Beauty,12.05
P00472,M0259,Electronics,13.07
P00473,M0162,Toys & Kids,21.13
P00474,M0137,Sports & Outdoor,9.43
P00475,M0279,Home & Living,8.13
P00476,M0164,Beauty,23.44
P00477,M0186,Beauty,11.0
P00478,M0177,Toys & Kids,12.59
P00479,M0104,Home & Living,12.15
P00480,M0051,Grocery,39.26
P00481,M0331,Sports & Outdoor,19.91
P00482,M0037,Grocery,20.89
P00483,M0130,Toys & Kids,41.98
P00484,M0267,Beauty,21.59
P00485,M0053,Apparel,19.1
P00486,M0263,Apparel,37.46
P00487,M0294,Apparel,44.76
P00488,M0266,Sports & Outdoor,21.49
P00489,M0123,Toys & Kids,26.38
P00490,M0008,Toys & Kids,12.14
P00491,M0355,Pet Supplies,11.31
P00492,M0131,Sports & Outdoor,49.02
P00493,M0323,Sports & Outdoor,36.61
P00494,M0080,Toys & Kids,36.96
P00495,M0065,Beauty,31.59
P00496,M0312,Toys & Kids,25.57
P00497,M0376,Home & Living,45.91
P00498,M0345,Pet Supplies,56.92
P00499,M0301,Apparel,55.71
P00500,M0099,Toys & Kids,22.41
P00501,M0366,Sports & Outdoor,85.48
P00502,M0268,Apparel,30.13
P00503,M0069,Home & Living,43.34
P00504,M0052,Electronics,31.62
P00505,M0349,Electronics,30.64
P00506,M0111,Apparel,12.65
P00507,M0307,Apparel,46.12
P00508,M0056,Home & Living,317.59
P00509,M0113,Sports & Outdoor,17.51
P00510,M0114,Beauty,26.15
P00511,M0113,Sports & Outdoor,16.42
P00512,M0270,Sports & Outdoor,15.81
P00513,M0366,Sports & Outdoor,98.49
P00514,M0365,Home & Living,13.39
P00515,M0297,Grocery,16.01
P00516,M0082,Beauty,5.88
P00517,M0385,Home & Living,12.41
P00518,M0217,Home & Living,5.27
P00519,M0219,Beauty,43.32
P00520,M0281,Apparel,304.82
P00521,M0308,Sports & Outdoor,17.64
P00522,M0382,Pet Supplies,5.47
P00523,M0233,Home & Living,55.15
P00524,M0245,Toys & Kids,12.75
P00525,M0299,Apparel,79.0
P00526,M0103,Grocery,19.03
P00527,M0124,Beauty,13.89
P00528,M0251,Electronics,20.9
P00529,M0026,Toys & Kids,48.52
P00530,M0129,Sports & Outdoor,19.99
P00531,M0288,Sports & Outdoor,15.69
P00532,M0391,Toys & Kids,20.51
P00533,M0208,Pet Supplies,7.81
P00534,M0160,Grocery,35.07
P00535,M0177,Toys & Kids,4.91
P00536,M0275,Beauty,16.45
P00537,M0218,Home & Living,48.59
P00538,M0010,Home & Living,32.23
P00539,M0216,Apparel,41.73
P00540,M0161,Pet Supplies,23.14
P00541,M0281,Apparel,70.3
P00542,M0351,Sports & Outdoor,56.39
P00543,M0385,Home & Living,36.65
P00544,M0245,Toys & Kids,56.53
P00545,M0146,Grocery,48.2
P00546,M0178,Electronics,16.52
P00547,M0071,Grocery,7.32
P00548,M0375,Pet Supplies,35.81
P00549,M0339,Electronics,40.1
P00550,M0342,Apparel,65.46
P00551,M0132,Sports & Outdoor,10.56
P00552,M0129,Sports & Outdoor,10.85
P00553,M0343,Sports & Outdoor,37.11
P00554,M0218,Home & Living,23.01
P00555,M0282,Beauty,4.49
P00556,M0196,Home & Living,34.38
P00557,M0178,Electronics,4.63
P00558,M0253,Electronics,10.48
P00559,M0326,Electronics,82.81
P00560,M0134,Sports & Outdoor,126.77
P00561,M0324,Pet Supplies,8.21
P00562,M0098,Toys & Kids,18.24
P00563,M0162,Toys & Kids,25.49
P00564,M0366,Sports & Outdoor,121.89
P00565,M0382,Pet Supplies,15.74
P00566,M0370,Grocery,15.97
P00567,M0127,Home & Living,98.87
P00568,M0338,Apparel,17.51
P00569,M0375,Pet Supplies,46.99
P00570,M0392,Electronics,6.49
P00571,M0009,Electronics,21.03
P00572,M0298,Beauty,5.51
P00573,M0399,Apparel,9.49
P00574,M0306,Electronics,52.21
P00575,M0094,Beauty,23.46
P00576,M0306,Electronics,18.41
P00577,M0043,Toys & Kids,12.5
P00578,M0193,Sports & Outdoor,20.11
P00579,M0251,Electronics,32.17
P00580,M0183,Beauty,59.42
P00581,M0280,Home & Living,2.31
P00582,M0097,Electronics,11.6
P00583,M0243,Home & Living,28.31
P00584,M0258,Home & Living,22.44
P00585,M0254,Apparel,35.27
P00586,M0116,Sports & Outdoor,31.21
P00587,M0123,Toys & Kids,18.65
P00588,M0104,Home & Living,15.27
P00589,M0185,Beauty,19.67
P00590,M0235,Beauty,68.98
P00591,M0146,Grocery,12.69
P00592,M0164,Beauty,23.18
P00593,M0115,Sports & Outdoor,28.93
P00594,M0088,Apparel,99.91
P00595,M0263,Apparel,18.72
P00596,M0327,Electronics,58.14
P00597,M0117,Home & Living,74.35
P00598,M0345,Pet Supplies,23.16
P00599,M0229,Sports & Outdoor,20.29
P00600,M0068,Apparel,18.24
P00601,M0147,Home & Living,19.49
P00602,M0004,Beauty,52.92
P00603,M0016,Grocery,30.2
P00604,M0135,Grocery,30.32
P00605,M0182,Electronics,8.91
P00606,M0320,Grocery,10.27
P00607,M0054,Beauty,168.87
P00608,M0336,Grocery,20.9
P00609,M0094,Beauty,12.22
P00610,M0056,Home & Living,88.94
P00611,M0280,Home & Living,31.61
P00612,M0310,Home & Living,41.28
P00613,M0242,Sports & Outdoor,21.67
P00614,M0047,Beauty,18.42
P00615,M0047,Beauty,21.06
P00616,M0157,Electronics,7.07
P00617,M0181,Pet Supplies,22.67
P00618,M0400,Apparel,32.02
P00619,M0115,Sports & Outdoor,129.73
P00620,M0078,Electronics,26.51
P00621,M0379,Beauty,3.0
P00622,M0062,Toys & Kids,22.54
P00623,M0011,Sports & Outdoor,288.75
P00624,M0170,Home & Living,53.5
P00625,M0161,Pet Supplies,11.82
P00626,M0248,Beauty,41.76
P00627,M0352,Home & Living,12.58
P00628,M0374,Apparel,7.25
P00629,M0116,Sports & Outdoor,17.93
P00630,M0393,Apparel,26.64
P00631,M0254,Apparel,4.55
P00632,M0028,Grocery,8.72
P00633,M0376,Home & Living,24.76
P00634,M0056,Home & Living,16.99
P00635,M0236,Toys & Kids,35.0
P00636,M0317,Toys & Kids,8.22
P00637,M0100,Electronics,46.65
P00638,M0109,Beauty,8.45
P00639,M0191,Toys & Kids,107.6
P00640,M0354,Beauty,5.24
P00641,M0090,Grocery,9.18
P00642,M0266,Sports & Outdoor,35.72
P00643,M0182,Electronics,109.71
P00644,M0045,Home & Living,32.57
P00645,M0285,Beauty,40.71
P00646,M0334,Grocery,24.92
P00647,M0231,Beauty,9.74
P00648,M0071,Grocery,15.78
P00649,M0063,Apparel,8.24
P00650,M0170,Home & Living,7.76
P00651,M0203,Beauty,35.22
P00652,M0221,Electronics,8.93
P00653,M0098,Toys & Kids,32.71
P00654,M0201,Apparel,7.6
P00655,M0119,Electronics,32.03
P00656,M0275,Beauty,15.8
P00657,M0319,Pet Supplies,87.0
P00658,M0262,Electronics,32.83
P00659,M0001,Home & Living,74.6
P00660,M0397,Home & Living,12.43
P00661,M0010,Home & Living,25.8
P00662,M0400,Apparel,10.15
P00663,M0013,Toys & Kids,16.91
P00664,M0207,Grocery,19.38
P00665,M0043,Toys & Kids,12.77
P00666,M0039,Apparel,8.22
P00667,M0274,Pet Supplies,6.87
P00668,M0292,Apparel,2.99
P00669,M0048,Pet Supplies,9.48
P00670,M0391,Toys & Kids,43.15
P00671,M0129,Sports & Outdoor,5.82
P00672,M0128,Grocery,7.16
P00673,M0119,Electronics,122.95
P00674,M0185,Beauty,13.83
P00675,M0072,Electronics,32.75
P00676,M0170,Home & Living,43.73
P00677,M0084,Grocery,44.53
P00678,M0021,Sports & Outdoor,6.23
P00679,M0148,Electronics,19.93
P00680,M0269,Sports & Outdoor,5.72
P00681,M0306,Electronics,221.78
P00682,M0142,Electronics,5.84
P00683,M0130,Toys & Kids,9.55
P00684,M0315,Electronics,9.62
P00685,M0273,Electronics,6.38
P00686,M0333,Electronics,82.88
P00687,M0363,Electronics,217.07
P00688,M0329,Electronics,15.99
P00689,M0375,Pet Supplies,7.48
P00690,M0167,Apparel,3.28
P00691,M0158,Sports & Outdoor,19.69
P00692,M0129,Sports & Outdoor,18.45
P00693,M0095,Pet Supplies,13.65
P00694,M0300,Home & Living,29.94
P00695,M0286,Pet Supplies,35.01
P00696,M0321,Apparel,32.81
P00697,M0067,Pet Supplies,18.46
P00698,M0197,Apparel,9.1
P00699,M0089,Grocery,44.67
P00700,M0358,Pet Supplies,24.81
P00701,M0107,Grocery,54.57
P00702,M0058,Electronics,49.95
P00703,M0228,Sports & Outdoor,6.82
P00704,M0352,Home & Living,6.75
P00705,M0367,Beauty,12.43
P00706,M0039,Apparel,9.48
P00707,M0131,Sports & Outdoor,48.41
P00708,M0062,Toys & Kids,33.66
P00709,M0124,Beauty,65.97
P00710,M0214,Beauty,35.05
P00711,M0113,Sports & Outdoor,29.6
P00712,M0028,Grocery,72.22
P00713,M0205,Beauty,37.44
P00714,M0022,Apparel,26.08
P00715,M0091,Beauty,92.98
P00716,M0001,Home & Living,27.21
P00717,M0035,Pet Supplies,18.65
P00718,M0175,Toys & Kids,11.54
P00719,M0341,Toys & Kids,46.19
P00720,M0310,Home & Living,74.69
P00721,M0040,Toys & Kids,23.44
P00722,M0014,Grocery,79.61
P00723,M0136,Apparel,4.17
P00724,M0261,Grocery,23.34
P00725,M0299,Apparel,23.66
P00726,M0330,Sports & Outdoor,12.75
P00727,M0137,Sports & Outdoor,209.66
P00728,M0068,Apparel,23.11
P00729,M0011,Sports & Outdoor,17.0
P00730,M0059,Toys & Kids,25.11
P00731,M0027,Beauty,4.04
P00732,M0345,Pet Supplies,12.38
P00733,M0108,Toys & Kids,59.44
P00734,M0330,Sports & Outdoor,13.93
P00735,M0222,Beauty,11.63
P00736,M0216,Apparel,79.72
P00737,M0182,Electronics,81.96
P00738,M0328,Home & Living,39.07
P00739,M0018,Electronics,16.29
P00740,M0038,Grocery,19.78
P00741,M0170,Home & Living,11.9
P00742,M0158,Sports & Outdoor,10.02
P00743,M0219,Beauty,9.58
P00744,M0296,Sports & Outdoor,14.07
P00745,M0236,Toys & Kids,9.67
P00746,M0103,Grocery,6.01
P00747,M0131,Sports & Outdoor,29.89
P00748,M0301,Apparel,30.3
P00749,M0081,Pet Supplies,113.38
P00750,M0202,Pet Supplies,13.44
P00751,M0216,Apparel,32.02
P00752,M0301,Apparel,32.51
P00753,M0286,Pet Supplies,19.52
P00754,M0186,Beauty,47.94
P00755,M0124,Beauty,49.29
P00756,M0148,Electronics,32.94
