pmt_ref,order_id,method,amount_reported,paid_at,merchant_id
PMT-016652,O018084,card,600.0,2026-03-18 17:42:16,M0333
PMT-017696,O019237,card,900.0,2026-06-01 16:15:03,M0333
PMT-018730,O020344,wallet,200.0,2025-07-18 15:27:57,M0333
PMT-018818,O020443,wallet,300.0,2026-03-09 18:41:51,M0333
PMT-019483,O021174,card,500.0,2026-06-21 12:14:21,M0333
PMT-019541,O021236,wallet,300.0,2026-02-07 09:11:59,M0333
PMT-019648,O021352,bank_transfer,700.0,2025-08-21 08:34:31,M0333
PMT-019807,O021526,cod,600.0,2025-09-14 23:26:12,M0333
PMT-020130,O021874,cod,200.0,2025-12-06 11:33:58,M0333
PMT-020749,O022554,card,900.0,2025-12-28 10:28:58,M0333
PMT-021020,O022852,card,500.0,2026-04-02 19:53:46,M0333
PMT-021622,O023503,card,200.0,2026-01-24 20:56:56,M0333
PMT-021659,O023543,wallet,800.0,2026-03-28 18:16:50,M0333
PMT-022779,O024750,bnpl,700.0,2025-11-09 15:55:00,M0333
PMT-023649,O025698,card,600.0,2026-02-10 13:59:29,M0333
PMT-024299,O026414,cod,800.0,2025-07-05 20:03:57,M0333
PMT-025282,O027472,card,500.0,2025-11-29 22:43:51,M0333
PMT-026350,O028618,card,900.0,2025-11-16 08:53:36,M0333
PMT-027931,O030351,wallet,600.0,2025-08-17 14:23:21,M0333
PMT-029386,O031924,card,500.0,2025-11-26 10:39:41,M0333
PMT-029440,O031983,cod,800.0,2026-01-16 09:05:16,M0333
PMT-029806,O032388,card,400.0,2026-06-28 18:53:39,M0333
PMT-030585,O033228,bnpl,100.0,2026-03-24 20:56:11,M0333
PMT-030590,O033233,bank_transfer,800.0,2025-11-05 15:47:39,M0333
PMT-030656,O033302,wallet,600.0,2026-03-24 15:44:14,M0333
PMT-031405,O034106,bnpl,400.0,2025-09-30 14:20:39,M0333
PMT-031577,O034292,wallet,700.0,2026-01-16 11:53:01,M0333
PMT-031788,O034516,wallet,900.0,2026-01-29 08:58:21,M0333
PMT-031944,O034681,wallet,600.0,2025-12-09 11:38:02,M0333
PMT-032114,O034861,card,500.0,2025-11-07 12:23:47,M0333
PMT-032858,O035680,card,200.0,2025-11-08 10:35:06,M0333
PMT-033628,O036525,card,200.0,2026-03-19 19:41:18,M0333
PMT-033670,O036568,bank_transfer,300.0,2026-03-23 15:38:01,M0333
PMT-033974,O036900,cod,300.0,2026-05-20 19:43:49,M0333
PMT-034466,O037437,cod,700.0,2025-07-06 16:36:13,M0333
PMT-034514,O037492,card,500.0,2025-12-24 13:04:53,M0333
PMT-035796,O038880,cod,200.0,2026-03-25 12:47:36,M0333
PMT-036022,O039118,wallet,500.0,2025-11-01 21:25:58,M0333
PMT-036561,O039709,bnpl,900.0,2025-10-16 16:53:45,M0333
PMT-038539,O041849,wallet,900.0,2025-10-27 12:30:30,M0333
PMT-038689,O042016,cod,900.0,2025-12-10 14:33:17,M0333
PMT-039745,O043152,card,500.0,2026-06-20 19:39:17,M0333
PMT-039988,O043413,cod,700.0,2026-05-01 10:04:11,M0333
PMT-040056,O043485,card,100.0,2025-09-28 13:40:36,M0333
PMT-040658,O044125,card,300.0,2025-11-09 11:49:27,M0333
PMT-040888,O044374,bank_transfer,400.0,2026-04-04 21:22:15,M0333
PMT-041832,O045413,bank_transfer,800.0,2026-01-26 16:29:20,M0333
PMT-042123,O045725,wallet,600.0,2025-12-01 18:12:13,M0333
PMT-042937,O046615,cod,800.0,2025-07-18 20:10:35,M0333
PMT-043437,O047169,wallet,500.0,2025-07-11 09:32:11,M0333
PMT-044396,O048212,wallet,900.0,2026-01-18 05:23:02,M0333
PMT-045617,O049573,wallet,400.0,2025-10-12 23:18:02,M0333
PMT-045709,O049679,card,900.0,2026-01-11 10:58:42,M0333
PMT-045886,O049870,wallet,900.0,2025-12-03 13:01:28,M0333
